feature,F_statistic,p_value
mfcc_08_mean_segstd,2.091769054244685,0.15433442414016962
chroma_09_median_segstd,2.0828631608553096,0.15519679222272736
mel_065_mean_segmean,2.0590954465043767,0.1575258948703193
mel_125_mean_segstd,2.030988162006959,0.1603331214987608
mel_090_mean_segmean,2.0297882736965667,0.16045425658549947
chroma_12_median_segstd,2.003805105720871,0.1631038623784222
mfcc_37_max_segstd,1.997793110958026,0.16372421082267657
mel_104_mean_segstd,1.997360279153736,0.16376897927992284
mel_066_mean_segmean,1.9753267105828893,0.16606703795582684
mfcc_09_std_segmean,1.9718575323442837,0.16643230643658677
chroma_07_max_segmean,1.9510311190092455,0.16864506909512775
mfcc_15_median_segstd,1.9432099795866253,0.16948497475153973
spectral_flatness_mean_segmean,1.9389115863288628,0.16994867238803374
mfcc_19_median_segstd,1.8952697726719223,0.17474231832118825
chroma_01_max_segmean,1.8843975817826843,0.17596125897642018
mfcc_40_mean_segmean,1.8837409488664298,0.17603519912093765
mfcc_19_max_segmean,1.882646431471796,0.1761585289562184
mfcc_09_min_segmean,1.879465901384195,0.17651749055245744
mel_088_mean_segmean,1.861096516089668,0.17860772548564227
mfcc_15_mean_segstd,1.8601453873257665,0.17871674959680456
chroma_12_min_segstd,1.8582467261835685,0.17893462157531936
mfcc_delta_35_mean_segmean,1.853983493560793,0.17942497728355636
mfcc_delta_37_std_segstd,1.8497716604708607,0.1799109866983891
mfcc_40_std_segmean,1.843303324839097,0.18066042185636746
mfcc_12_min_segmean,1.8366459757667009,0.1814356293271329
mfcc_22_median_segstd,1.806867492132796,0.18495191285842266
mfcc_10_max_segmean,1.8049414734260254,0.18518211845092844
mel_086_mean_segmean,1.8044364989899173,0.18524253150032702
mfcc_17_min_segmean,1.7846444939886297,0.1876289729588031
mfcc_03_median_segstd,1.7701674831263492,0.18939779838421708
mfcc_delta_22_mean_segmean,1.7598068942490388,0.1906759082383012
mfcc_05_median_segmean,1.7367903819801742,0.19355239973626637
chroma_10_median_segmean,1.7183729085166586,0.1958916355054816
